artifact,variant,model,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,reference
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,calibration_slope,0.866414080283694,0.8676667043512981,0.001252624067604069,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_dynamic_vitals,mean_predicted_risk,0.3660923593607413,0.3660443981136269,-4.796124711442529e-05,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,auroc,0.6116818154696791,0.6116818154696791,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,auprc,0.4639928113806456,0.4639928113806456,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,brier,0.2193421588386196,0.2193421588386196,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,calibration_intercept,-0.1226751243155299,-0.1226751243155299,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,calibration_slope,0.9855131258851456,0.9855131258851456,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native__harmonized_last_values,mean_predicted_risk,0.3745858118055489,0.3745858118055489,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native_refit,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native_refit,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native_refit,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native_refit,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,target_native_refit,auroc,0.6324300403747092,0.6324499293939815,1.9889019272301134e-05,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,target_native_refit,auprc,0.4725976799383783,0.4725743998520904,-2.3280086287935653e-05,1e-10,DIFFERENCE,,
