artifact,analysis,model,outcome,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,comparison,threshold
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,brier,0.0407788983749258,0.0408964503417311,0.00011755196680530294,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,calibration_intercept,0.1964541002818927,0.2112458017573757,0.014791701475483005,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,calibration_slope,1.0281520254627852,1.0313118700189297,0.0031598445561444866,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,multiclass_log_loss,0.7282510434210578,0.72864623663633,0.00039519321527214935,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,death_first,multiclass_brier,0.475003760349134,0.4750782700878129,7.450973867889621e-05,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,test_events,231.0,231.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,prevalence,0.3352685050798258,0.3352685050798258,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,auroc,0.6998620011720448,0.6998714531465624,9.451974517626915e-06,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,auprc,0.4849376186763632,0.4851062559052668,0.0001686372289035898,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,brier,0.2112429763171808,0.2113677281792322,0.000124751862051381,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,calibration_intercept,-0.5243077431575559,-0.5238814631885329,0.00042627996902300236,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,calibration_slope,0.7933767093620022,0.7891965184362926,-0.004180190925709648,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,multiclass_log_loss,0.7282510434210578,0.72864623663633,0.00039519321527214935,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,multiclass_brier,0.475003760349134,0.4750782700878129,7.450973867889621e-05,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,test_events,320.0,320.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,prevalence,0.4644412191582003,0.4644412191582003,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,auroc,0.6944275067750677,0.6950118563685637,0.0005843495934959586,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,auprc,0.6115675876761866,0.6126702517635736,0.0011026640873870175,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,brier,0.2229818856570273,0.2228140915668496,-0.00016779409017772529,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,calibration_intercept,0.462150642101832,0.4601500101416389,-0.0020006319601930667,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,calibration_slope,0.9289489645733802,0.9290673724573244,0.00011840788394423818,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,multiclass_log_loss,0.7282510434210578,0.72864623663633,0.00039519321527214935,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multinomial_logistic,restart_first,multiclass_brier,0.475003760349134,0.4750782700878129,7.450973867889621e-05,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,test_events,138.0,138.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,prevalence,0.2002902757619738,0.2002902757619738,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,auroc,0.97624871774639,0.9782740208842946,0.0020253031379046105,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,auprc,0.9437271168837504,0.9458109526912482,0.0020838358074977137,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,brier,0.0374283280848112,0.0371358520716853,-0.00029247601312589605,1e-10,DIFFERENCE,,,
